rank,name,range
1,램페이지,0 na
2,어벤져스: 인피니티 워,1 up
3,"그날, 바다",1 down
4,나를 기억해,0 na
5,콰이어트 플레이스,0 na
6,레디 플레이어 원,0 na
7,바람 바람 바람,0 na
8,곤지암,0 na
9,크리미널 스쿼드,0 na
10,덕구,0 na
11,퍼시픽 림: 업라이징,3 up
12,소공녀,1 up
13,독전,2 up
14,7년의 밤,2 down
15,당신의 부탁,1 up
16,레드 스패로,5 down
17,몬태나,0 na
18,챔피언,7 up
19,지금 만나러 갑니다,1 down
20,살인소설,4 up
21,머니백,2 down
22,사라진 밤,2 down
23,콜 미 바이 유어 네임,0 na
24,레이디 버드,3 down
25,"지금, 만나러 갑니다",3 down
26,블리딩 스틸,0 na
27,12 솔져스,0 na
28,블랙 팬서,1 up
29,데드풀 2,2 up
30,당갈,6 up
31,리틀 포레스트,1 up
32,마징가 Z: 인피니티,2 down
33,정글번치: 최강 악당의 등장,2 up
34,달링,6 down
35,한낮의 유성,1 down
36,50가지 그림자: 해방,2 up
37,버닝,3 up
38,수성못,5 down
39,클레어의 카메라,5 up
40,영웅본색4,1 up
41,원죄,6 up
42,라이프 오브 파이,5 down
43,렛 더 선샤인 인,15 up
44,박하사탕,16 up
45,메이즈 러너: 데스 큐어,3 down
46,콜럼버스,0 na
47,플로리다 프로젝트,2 down
48,퍼시픽 림,7 up
49,호랑이보다 무서운 겨울손님,6 down
50,47 미터,9
